Pincode,Place,Latitude,Longitude,District,State
721455,Islampur,25.1413,85.2043,MEDINIPUR EAST,WEST BENGAL
721454,Barhat,25.0143,86.2923,MEDINIPUR EAST,WEST BENGAL
721453,Depal,21.7344,87.5491,MEDINIPUR EAST,WEST BENGAL
721452,Biswanathpur,22.7005,88.6314,MEDINIPUR EAST,WEST BENGAL
721451,Palsandapur,23.9835,84.5918,MEDINIPUR WEST,WEST BENGAL
721450,Deshdattabarh,23.9835,84.5918,MEDINIPUR EAST,WEST BENGAL
721449,Karaldanimakbarh,24.0546,84.6543,MEDINIPUR EAST,WEST BENGAL
721448,Barada Bazar,24.1116,83.4179,MEDINIPUR EAST,WEST BENGAL
721447,Kasbagola,21.8104,87.448,MEDINIPUR EAST,WEST BENGAL
721446,Bishnupur,23.0738,87.3199,MEDINIPUR EAST,WEST BENGAL
721445,Sauri,30.4571,78.055,MEDINIPUR WEST,WEST BENGAL
721444,Dakhin Sandalpur,24.0546,84.6543,MEDINIPUR EAST,WEST BENGAL
721443,Bandhuchak,21.9467,87.4938,MEDINIPUR WEST,WEST BENGAL
721442,Baikunthapur,23.2621,82.5605,MEDINIPUR EAST,WEST BENGAL
721441,Mandar,23.4576,85.088,MEDINIPUR EAST,WEST BENGAL
721440,Chakbhabani,22.475,87.8219,MEDINIPUR EAST,WEST BENGAL
721439,Amarpur,26.0971,84.101,MEDINIPUR EAST,WEST BENGAL
721438,Ghatua Purusottampur,20.549,86.654,MEDINIPUR EAST,WEST BENGAL
721437,Birbira,24.7296,79.0559,MEDINIPUR WEST,WEST BENGAL
721436,Rajnagar,24.7316,79.9587,MEDINIPUR WEST,WEST BENGAL
721435,Menkapur,23.217,85.2453,MEDINIPUR WEST,WEST BENGAL
721434,Panchuria,22.5526,88.4901,MEDINIPUR EAST,WEST BENGAL
721433,Maitana,24.8319,78.994,MEDINIPUR EAST,WEST BENGAL
721432,Serkhanchak,25.214000000000002,84.9877,MEDINIPUR EAST,WEST BENGAL
721431,Baratala,24.0639,89.6276,MEDINIPUR EAST,WEST BENGAL
721430,Dakshin Kalamdan,26.791,79.7197,MEDINIPUR EAST,WEST BENGAL
721429,Egra,21.8995,87.5379,MEDINIPUR EAST,WEST BENGAL
